studentId,class
1,8A
2,11V
3,5M
4,12P
5,5G
6,12L
7,1B
8,1D
9,10Y
10,7Q
11,4V
12,9F
13,5I
14,4V
15,12D
16,7L
17,10H
18,6D
19,8N
20,11G
21,5Q
22,1Y
23,7W
24,8Y
25,8D
26,11C
27,11Z
28,9I
29,8B
30,8F
31,2X
32,4Y
33,5V
34,12R
35,4C
36,5W
37,6E
38,7H
39,10O
40,8E
41,1T
42,2E
43,5K
44,2Y
45,8S
46,10G
47,7K
48,1G
49,2S
50,4G
51,11Y
52,9C
53,6A
54,12T
55,1M
56,8I
57,12H
58,2L
59,10W
60,9N
61,12S
62,11Y
63,7E
64,11Y
65,9M
66,5W
67,7U
68,12V
69,12I
70,4S
71,1Q
72,11C
73,12E
74,3R
75,9T
76,4G
77,10P
78,4B
79,8A
80,11V
81,9T
82,6F
83,6R
84,8S
85,4I
86,1G
87,2F
88,9I
89,6N
90,7P
91,9S
92,7T
93,12I
94,11R
95,8T
96,5E
97,4Y
98,4I
99,9X
100,9M
101,8H
102,4A
103,2K
104,7C
105,12Z
106,12V
107,11C
108,1U
109,1E
110,4M
111,6E
112,4M
113,6N
114,10R
115,6J
116,7N
117,1S
118,2Y
119,11A
120,7Q
121,12Q
122,7M
123,7V
124,9I
125,9T
126,6Q
127,5P
128,3P
129,10Z
130,10J
131,6L
132,8X
133,12K
134,4Q
135,12E
136,8D
137,3S
138,11K
139,7P
140,1I
141,2Y
142,7D
143,7I
144,10N
145,12I
146,9N
147,12M
148,9E
149,9E
150,10M
151,6S
152,2B
153,2A
154,10L
155,8A
156,12T
157,5M
158,5A
159,3H
160,12I
161,8H
162,2Q
163,11K
164,1V
165,2O
166,9A
167,7U
168,7W
169,4R
170,1H
171,3X
172,4N
173,3K
174,2S
175,10K
176,1V
177,1D
178,6Y
179,9U
180,10X
181,9N
182,3O
183,3S
184,7I
185,8L
186,4O
187,9V
188,5Q
189,2M
190,9W
191,3C
192,6H
193,12C
194,12Y
195,11J
196,12U
197,12A
198,6E
199,10B
200,9E
201,1M
202,1N
203,5B
204,3F
205,2I
206,2D
207,10J
208,8S
209,12I
210,9L
211,7Q
212,11J
213,3E
214,5L
215,7E
216,11S
217,3Z
218,5L
219,10B
220,7B
221,1T
222,7T
223,2L
224,1D
225,4F
226,2G
227,5I
228,9X
229,6D
230,5K
231,3Z
232,2L
233,8B
234,5L
235,2C
236,2J
237,4V
238,1Q
239,10I
240,1C
241,9W
242,1Q
243,8D
244,7P
245,9R
246,8G
247,10B
248,8M
249,10U
250,2N
251,1M
252,3K
253,8J
254,5M
255,8B
256,7J
257,1F
258,5N
259,5W
260,1X
261,2C
262,1R
263,3N
264,9D
265,9R
266,8P
267,12X
268,1Z
269,3U
270,4G
271,8M
272,9K
273,3K
274,3G
275,5J
276,5H
277,11Q
278,3H
279,7Q
280,9P
281,4A
282,1U
283,3U
284,4T
285,2S
286,8A
287,12M
288,3H
289,9E
290,4Z
291,10G
292,4G
293,3X
294,7E
295,11I
296,4Z
297,12P
298,12F
299,7J
300,12Q
301,7C
302,5D
303,3R
304,2P
305,12W
306,7M
307,4M
308,6A
309,6W
310,2D
311,5W
312,11H
313,5I
314,1O
315,9M
316,7R
317,3N
318,6A
319,2B
320,11P
321,9E
322,7S
323,3J
324,9Y
325,2K
326,4K
327,8M
328,8I
329,8O
330,2X
331,1B
332,1V
333,2E
334,12L
335,1G
336,11C
337,5X
338,3H
339,5H
340,3L
341,1U
342,11O
343,1G
344,10P
345,2L
346,11S
347,11K
348,3V
349,10R
350,4E
351,5V
352,2Q
353,2F
354,5Q
355,5B
356,4X
357,2G
358,11A
359,12S
360,1F
361,5U
362,6F
363,5Y
364,8D
365,7X
366,8D
367,12V
368,4X
369,3N
370,4Q
371,9C
372,8G
373,11J
374,12G
375,7R
376,4Q
377,11U
378,9S
379,1X
380,12Q
381,6A
382,1O
383,10R
384,9X
385,5I
386,8P
387,1A
388,6K
389,2Q
390,12U
391,5O
392,6K
393,4T
394,11A
395,11E
396,8M
397,7V
398,7L
399,9S
400,5X
401,5U
402,9P
403,5T
404,4J
405,1S
406,4P
407,12X
408,1M
409,6N
410,10A
411,9Y
412,9J
413,3Q
414,4A
415,4C
416,2L
417,10S
418,1T
419,10V
420,4L
421,5H
422,6R
423,12H
424,4K
425,9N
426,11L
427,4Q
428,9P
429,11M
430,5B
431,8E
432,4A
433,2P
434,2Y
435,10L
436,1H
437,9Z
438,11H
439,11J
440,3Q
441,12F
442,7E
443,5R
444,7D
445,8U
446,3I
447,4T
448,3E
449,1G
450,2B
451,4Z
452,4N
453,9B
454,3S
455,7V
456,10E
457,2U
458,4M
459,11V
460,5A
461,1D
462,6T
463,10R
464,6P
465,9X
466,1I
467,9E
468,10G
469,10A
470,6E
471,5P
472,12L
473,11D
474,9W
475,9I
476,6I
477,3P
478,10C
479,8U
480,8Z
481,7N
482,1A
483,9N
484,2I
485,2R
486,12E
487,3Q
488,5X
489,2I
490,8G
491,3V
492,6W
493,10S
494,3C
495,6L
496,9K
497,11T
498,4C
499,12W
500,2G
501,7F
502,11T
503,3C
504,3D
505,10S
506,1P
507,3Q
508,11I
509,9U
510,2N
511,4V
512,6F
513,3I
514,9J
515,9U
516,4N
517,9N
518,3N
519,11L
520,7J
521,3V
522,10T
523,8U
524,10B
525,9L
526,10Y
527,4L
528,6T
529,6F
530,4F
531,11U
532,8K
533,11R
534,11A
535,3U
536,6T
537,7Y
538,7G
539,7B
540,1E
541,11Y
542,9R
543,11M
544,8R
545,11G
546,3F
547,7M
548,5V
549,9S
550,11O
551,6Z
552,5C
553,6L
554,4G
555,10P
556,8L
557,5W
558,12Q
559,8O
560,9I
561,5Y
562,3E
563,8C
564,3W
565,7N
566,2O
567,10X
568,8N
569,11N
570,7W
571,5H
572,8F
573,11Q
574,2J
575,9W
576,10X
577,7N
578,10J
579,8O
580,10U
581,12G
582,12K
583,4X
584,8L
585,7Y
586,8F
587,5Z
588,5G
589,4H
590,5E
591,5X
592,2H
593,3C
594,4S
595,2Q
596,6W
597,8R
598,7T
599,3B
600,10M
601,4C
602,4X
603,11Y
604,3Y
605,3R
606,8N
607,7I
608,10J
609,4B
610,12F
611,5T
612,6U
613,2P
614,10O
615,6Y
616,10B
617,8Y
618,6A
619,11B
620,8G
621,10U
622,10S
623,9P
624,1V
625,5Z
626,12W
627,2W
628,7G
629,7E
630,1R
631,7B
632,3I
633,6H
634,3H
635,5O
636,7M
637,9O
638,4F
639,6Z
640,3Q
641,7Y
642,9E
643,2R
644,3G
645,6M
646,12E
647,5B
648,3C
649,4K
650,10U
651,5D
652,11Z
653,2O
654,8L
655,12W
656,10N
657,4D
658,3V
659,6E
660,10E
661,12P
662,10B
663,6R
664,3U
665,9E
666,2N
667,2F
668,11T
669,10N
670,8M
671,6B
672,2O
673,4N
674,5A
675,6X
676,7W
677,3I
678,12U
679,4G
680,8C
681,6T
682,4M
683,2C
684,12P
685,12K
686,3X
687,11P
688,2R
689,9W
690,3V
691,9C
692,4S
693,1S
694,8W
695,11X
696,11Q
697,5N
698,5L
699,10O
700,7O
701,3C
702,12I
703,9P
704,7C
705,1M
706,9R
707,5M
708,2N
709,8D
710,5J
711,7C
712,6T
713,11X
714,8P
715,11E
716,10L
717,12S
718,12G
719,9T
720,10U
721,1T
722,8S
723,11M
724,12R
725,3C
726,12H
727,11A
728,12Z
729,2J
730,3Z
731,3Y
732,10E
733,9L
734,4W
735,7S
736,1V
737,7U
738,3Y
739,11I
740,10A
741,2P
742,3J
743,9O
744,9P
745,2O
746,4H
747,4D
748,4P
749,5I
750,12R
751,8X
752,11C
753,6X
754,12E
755,10B
756,2B
757,9L
758,2J
759,2Q
760,5H
761,1W
762,3D
763,2W
764,1H
765,10D
766,12V
767,4L
768,9R
769,6L
770,7H
771,5R
772,12L
773,9Z
774,12Q
775,1S
776,12O
777,12G
778,11X
779,8R
780,6K
781,10N
782,3A
783,11B
784,9I
785,2M
786,2W
787,4A
788,4O
789,2V
790,3Z
791,12X
792,5M
793,6B
794,8P
795,8Z
796,9K
797,6I
798,11I
799,6D
800,4P
801,8R
802,2J
803,8F
804,4H
